sbd, toan, ngu_van, ngoai_ngu, vat_li, hoa_hoc, sinh_hoc, lich_su, dia_li, gdcd, ma_nn
01000800,7.2,8.5,7,,,,8.75,8,8,N1
01000935
01000527,8,9,7.8,,,,8.5,9,9.5,N1
01000120,8.4,8,9,8.25,4,6,,,,N1
01000801,8.8,8.5,8.2,7.75,3.5,6.5,,,,N1
01000258,7,7.75,7.6,,,,6,6.75,7.5,N1
01000529,7.6,9.5,8.6,,,,6,7.25,6.25,N1
01000394
01000393
01000665,7.6,9.5,9.2,,,,6,6.5,7,N1
01000666,8,9.25,8.6,,,,7.5,7.25,7.5,N1
01000530,6.4,8.75,5.8,,,,6.75,7.25,8,N1
01000531,8,9,8.2,,,,8.25,7.75,8.75,N1
01000259,8.2,9,7.6,,,,9.25,6.75,7.75,N1
01000937
01000803,7.4,9.25,8.2,,,,8.75,9.25,9,N1
01000802,8,8.75,9.6,,,,9.25,8.5,9.25,N1
01000122
01000667,8.2,8.5,8.2,,,,6.5,6.5,7,N1
01000938
01000003,8.2,8.75,8.2,,,,7.25,7.25,8.75,N1
01000939
01000123,4,9,8.4,,,,9.5,9.5,9,N1
01000395
01000124,8.2,8.75,9.6,,,,,,,N1
01000668,7.8,9.5,8,,,,7.25,7.5,8,N1
01000125,8.2,9,8.2,8,5.5,6,,,,N1
01000940
01000396
01000804,6,8.5,8.8,,,,8,6.5,8,N1
01000260,6.8,9.5,7.6,,,,8.75,9.75,9,N1
01000397
01000533,7.2,9.25,7.8,,,,8.75,8.25,9,N1
01000532,7.4,9.25,7.6,,,,6.75,7.5,8.25,N1
01000534,6,6.5,5.2,,,,7,6.75,6.75,N1
01000941
01000398
01000942
01000262,8,8.5,9.4,,,,6.5,9,8.5,N1
01000670,7.8,9,7.8,,,,6.5,5.75,7,N1
01000004,4.8,8.5,7.4,,,,7,6,7.5,N1
01000128,8.4,9.25,9.2,,,,7.5,7.25,9,N1
01000807,8,9,9,,,,8,7.5,8.5,N1
01000669,7.6,8.25,7.8,,,,7,8.75,7.25,N1
01000129,8,8,8,,,,7.5,8,8.25,N1
01000806,6.8,8.5,9.2,,,,9.25,8.25,9,N1
01000805,8,8.5,7.2,,,,7.75,5.5,8.25,N1
01000672,8.2,8.75,8.4,,,,6.5,6.25,8.5,N1
01000536,8.6,9.25,10,,,,7.75,8.5,8.5,N1
01000535,9,9.25,8.8,,,,7,8.5,9.25,N1
01000261,7.6,9.25,8.8,,,,6.25,6,8.5,N1
01000671,7.4,8.5,6.6,,,,5.25,7.5,7.25,N1
01000401
01000265,7.8,6.25,8.2,,,,7.25,6.5,8.75,N1
01000126,7.6,9.5,8.8,,,,8.75,6.75,8.5,N1
01000943,8.2,8.5,8,,,,,,,N1
